ticker,holder_name,portfolio_name,source,amount_held,pct_outstanding,latest_change,filing_date,institution_type,country,metro_area,etf_label,ticker_raw
JAAA US Equity,Bank of America Corp,Bank of America Corp,13F,30177764.0,5.64,-4507882.0,2025-12-31,Bank,United States,Charlotte,JAAA (Janus AAA CLO),JAAA
JAAA US Equity,Allianz SE,,ULT-AGG,26360832.0,4.92,26360832.0,2025-12-31,Investment Advisor,Germany,Munich,JAAA (Janus AAA CLO),JAAA
JAAA US Equity,Allianz Investment M,Allianz Investment M,13F,25923332.0,4.84,7212832.0,2025-09-30,Investment Advisor,United States,Minneapolis/St. Paul,JAAA (Janus AAA CLO),JAAA
JAAA US Equity,Teachers Insurance &,,ULT-AGG,23706000.0,4.43,15190000.0,2025-09-30,Investment Advisor,United States,New York City/Southern CT/Northern NJ,JAAA (Janus AAA CLO),JAAA
JAAA US Equity,Morgan Stanley,,ULT-AGG,20616010.0,3.85,-1898377.0,2025-12-31,Brokerage,United States,New York City/Southern CT/Northern NJ,JAAA (Janus AAA CLO),JAAA
JAAA US Equity,LPL Financial LLC,LPL Financial LLC,13F,13272736.0,2.48,405363.0,2025-12-31,Brokerage,United States,Boston,JAAA (Janus AAA CLO),JAAA
JAAA US Equity,Focus Partners Wealt,Focus Partners Wealt,13F,8228884.0,1.54,8196112.0,2025-12-31,Hedge Fund Manager,United States,Boston,JAAA (Janus AAA CLO),JAAA
JAAA US Equity,Wells Fargo & Co,,ULT-AGG,7457715.0,1.39,-674298.0,2025-12-31,Bank,United States,San Francisco/San Jose,JAAA (Janus AAA CLO),JAAA
JAAA US Equity,Bain Capital Private,,ULT-AGG,7010365.0,1.31,-471532.0,2025-12-31,Private Equity,United States,Boston,JAAA (Janus AAA CLO),JAAA
JAAA US Equity,Raymond James Financ,Raymond James Financ,13F,6915950.0,1.29,108380.0,2025-12-31,Investment Advisor,United States,Tampa,JAAA (Janus AAA CLO),JAAA
JAAA US Equity,UBS AG,,ULT-AGG,6560250.0,1.23,80567.0,2025-12-31,Investment Advisor,Switzerland,Zurich,JAAA (Janus AAA CLO),JAAA
JAAA US Equity,Barings LLC,Barings LLC,13F,6000000.0,1.12,0.0,2025-12-31,Investment Advisor,United States,Boston,JAAA (Janus AAA CLO),JAAA
JAAA US Equity,Massachusetts Mutual,,ULT-AGG,6000000.0,1.12,6000000.0,2025-09-30,Insurance Company,United States,Hartford,JAAA (Janus AAA CLO),JAAA
JAAA US Equity,Sage Mountain Adviso,Sage Mountain Adviso,13F,5018296.0,0.94,1278966.0,2025-12-31,Investment Advisor,United States,Atlanta,JAAA (Janus AAA CLO),JAAA
JAAA US Equity,Genstar Capital LLC,,ULT-AGG,4850865.0,0.91,475447.0,2025-12-31,Private Equity,United States,San Francisco/San Jose,JAAA (Janus AAA CLO),JAAA
JAAA US Equity,Royal Bank of Canada,,ULT-AGG,4687709.0,0.88,137388.0,2025-12-31,Bank,Canada,Toronto,JAAA (Janus AAA CLO),JAAA
JAAA US Equity,HighTower Advisors L,HighTower Advisors L,13F,4140505.0,0.77,32353.0,2025-12-31,Investment Advisor,United States,Chicago,JAAA (Janus AAA CLO),JAAA
JAAA US Equity,Goldman Sachs Group,,ULT-AGG,4121494.0,0.77,25691.0,2025-12-31,Investment Advisor,United States,New York City/Southern CT/Northern NJ,JAAA (Janus AAA CLO),JAAA
