Source: HFR Inc. - © 2026 HFR Inc. - www.hfr.com

HFRI Credit Index (HFRICRDT)
Date, Monthly Rate of Return
01/2008,-1.45%
02/2008,-0.54%
03/2008,-2.33%
04/2008,1.22%
05/2008,1.21%
06/2008,-0.69%
07/2008,-1.18%
08/2008,-0.40%
09/2008,-6.09%
10/2008,-8.77%
11/2008,-3.32%
12/2008,-1.18%
2008 YTD,-21.53%
01/2009,1.86%
02/2009,0.17%
03/2009,0.95%
04/2009,3.34%
05/2009,4.99%
06/2009,1.89%
07/2009,3.60%
08/2009,2.39%
09/2009,3.30%
10/2009,1.41%
11/2009,0.77%
12/2009,2.11%
2009 YTD,30.19%
01/2010,1.67%
02/2010,0.53%
03/2010,2.26%
04/2010,1.75%
05/2010,-1.74%
06/2010,-0.02%
07/2010,1.66%
08/2010,0.63%
09/2010,1.81%
10/2010,1.68%
11/2010,0.42%
12/2010,1.41%
2010 YTD,12.66%
01/2011,1.51%
02/2011,1.16%
03/2011,0.20%
04/2011,0.93%
05/2011,0.03%
06/2011,-0.58%
07/2011,0.18%
08/2011,-2.30%
09/2011,-2.31%
10/2011,1.29%
11/2011,-0.72%
12/2011,0.17%
2011 YTD,-0.53%
01/2012,2.00%
02/2012,1.74%
03/2012,0.69%
04/2012,0.08%
05/2012,-1.11%
06/2012,0.58%
07/2012,1.00%
08/2012,1.00%
09/2012,1.33%
10/2012,0.77%
11/2012,0.60%
12/2012,1.47%
2012 YTD,10.58%
01/2013,1.95%
02/2013,0.42%
03/2013,0.92%
04/2013,1.14%
05/2013,0.91%
06/2013,-1.26%
07/2013,0.74%
08/2013,-0.03%
09/2013,1.07%
10/2013,1.28%
11/2013,0.68%
12/2013,0.82%
2013 YTD,8.96%
01/2014,0.62%
02/2014,1.28%
03/2014,0.32%
04/2014,0.46%
05/2014,0.79%
06/2014,0.94%
07/2014,-0.05%
08/2014,0.26%
09/2014,-0.60%
10/2014,-0.72%
11/2014,0.16%
12/2014,-0.46%
2014 YTD,3.00%
01/2015,-0.30%
02/2015,1.53%
03/2015,0.36%
04/2015,1.04%
05/2015,0.44%
06/2015,-0.83%
07/2015,-0.33%
08/2015,-1.17%
09/2015,-1.10%
10/2015,0.62%
11/2015,-0.33%
12/2015,-0.91%
2015 YTD,-1.02%
01/2016,-1.75%
02/2016,-0.71%
03/2016,1.91%
04/2016,1.56%
05/2016,0.84%
06/2016,0.21%
07/2016,1.65%
08/2016,1.14%
09/2016,0.82%
10/2016,0.69%
11/2016,0.59%
12/2016,1.34%
2016 YTD,8.55%
01/2017,1.26%
02/2017,0.75%
03/2017,0.28%
04/2017,0.51%
05/2017,0.19%
06/2017,0.27%
07/2017,0.71%
08/2017,0.20%
09/2017,0.25%
10/2017,0.49%
11/2017,0.13%
12/2017,0.79%
2017 YTD,5.98%
01/2018,1.10%
02/2018,-0.04%
03/2018,-0.17%
04/2018,0.48%
05/2018,0.17%
06/2018,0.24%
07/2018,0.62%
08/2018,0.00%
09/2018,0.55%
10/2018,-0.88%
11/2018,-0.73%
12/2018,-1.36%
2018 YTD,-0.04%
01/2019,1.96%
02/2019,0.83%
03/2019,0.40%
04/2019,0.94%
05/2019,-0.20%
06/2019,0.74%
